image_path,label
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-00-00.png,A
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-00-01.png,MOVE
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-00-02.png,to
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-00-03.png,stop
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-00-04.png,Mr.
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-00-05.png,Gaitskell
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-00-06.png,from
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-01-00.png,nominating
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-01-01.png,any
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-01-02.png,more
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-01-03.png,Labour
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-01-04.png,life
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-01-05.png,Peers
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-00.png,is
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-01.png,to
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-02.png,be
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-03.png,made
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-04.png,at
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-05.png,a
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-06.png,meeting
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-07.png,of
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-02-08.png,Labour
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-03-00.png,Ps
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-03-01.png,tomorrow
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-03-02.png,.
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-03-03.png,Mr.
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-03-04.png,Michael
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-03-05.png,Foot
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-03-06.png,has
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-04-00.png,put
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-04-01.png,down
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-04-02.png,a
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-04-03.png,resolution
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-04-04.png,on
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-04-05.png,the
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-04-06.png,subject
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-05-00.png,and
../dataset/raw/iam_words/words/a01/a01-000u/a01-000u-05-01.png,he
